"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: implId","Param: valueParam"
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"1023787,440969",NaN,"ops/s",JDK7_80,TRUE
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"5067063,402102",NaN,"ops/s",JDK7_80,FALSE
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"1182760,686929",NaN,"ops/s",JDK7_80,ONE
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"1165014,893226",NaN,"ops/s",JDK7_80,ZERO
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"876992,085610",NaN,"ops/s",JDK7_80,TRU
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"692355,134581",NaN,"ops/s",JDK7_80,FALS
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"597593,612123",NaN,"ops/s",JDK7_80,TRUE_SPACE
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"733941,638397",NaN,"ops/s",JDK7_80,ONE_SPACE
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"547107,755623",NaN,"ops/s",JDK7_80,FALSE_SPACE
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"1913313,193195",NaN,"ops/s",JDK6_27,TRUE
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"1157751,719922",NaN,"ops/s",JDK6_27,FALSE
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"1089335,371280",NaN,"ops/s",JDK6_27,ONE
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"1107235,667052",NaN,"ops/s",JDK6_27,ZERO
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"1142070,094744",NaN,"ops/s",JDK6_27,TRU
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"1279857,570516",NaN,"ops/s",JDK6_27,FALS
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"1208610,808903",NaN,"ops/s",JDK6_27,TRUE_SPACE
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"824784,043691",NaN,"ops/s",JDK6_27,ONE_SPACE
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"875042,757750",NaN,"ops/s",JDK6_27,FALSE_SPACE
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"1101789,143401",NaN,"ops/s",JDK6_27_OPT,TRUE
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"801084,806257",NaN,"ops/s",JDK6_27_OPT,FALSE
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"1164545,708202",NaN,"ops/s",JDK6_27_OPT,ONE
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"1316232,235728",NaN,"ops/s",JDK6_27_OPT,ZERO
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"1147131,483569",NaN,"ops/s",JDK6_27_OPT,TRU
